sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20615448851533344,8,0.15762954246698757
0.1,0.007188864364,800001,0.2030450173382814,13,0.15482679672396291
0.1,0.0248800395,800002,0.20572712934499138,14,0.15709320363834783
0.1,0.0221793804,800003,0.20458677610755546,14,0.15658936500076232
0.1,0.01848106178,800004,0.20416790002745666,12,0.15598956834587313
0.1,0.03142242103,800005,0.20673224717093014,7,0.15854280813736477
0.1,0.0310509311,800006,0.20692161804151876,14,0.15845226300301338
0.1,0.03675466264,800007,0.20834438037019123,14,0.15995350357891744
0.1,0.03700453326,800008,0.20850240404710857,14,0.16002320284124197
0.1,0.04057261234,800009,0.20977556539075393,14,0.16108517592309868
0.1,0.02859757958,800010,0.20599548444099292,14,0.15787736427112439
0.1,0.03821258868,800011,0.20878477958807332,14,0.16037488070530104
0.1,0.0210063303,800012,0.20460874481512423,16,0.15638811164950661
0.1,0.01188283019,800013,0.20321891047678009,15,0.15518779435783384
0.1,0.04828347272,800014,0.21240510192627371,15,0.16367007102604428
0.1,0.03064076818,800015,0.20668182369630575,15,0.15835132381299599
0.1,0.03883985278,800016,0.20904513616555909,14,0.16055970875008943
0.1,0.01092681137,800017,0.20343978253265935,13,0.15509963072476057
0.1,0.004377521349,800018,0.20269110646937691,15,0.15469422603331151
0.1,0.02154861535,800019,0.20432610312298866,15,0.15648041320733846
0.1,0.03765087566,800020,0.20867268667978306,14,0.16020969207411406
0.1,0.03729671432,800021,0.20767459043234143,12,0.16011179365777264
0.1,0.004768162221,800022,0.20285646180790626,13,0.15470577868028326
0.1,0.0107195281,800023,0.20320992306739649,14,0.15507811435700389
0.1,0.03024711087,800024,0.20649680194175352,13,0.15825835669454702
0.1,0.06471081095,800025,0.21936565324757756,15,0.17037731805800746
0.1,0.04631810424,800026,0.21190112450464249,14,0.16297574795139746
0.1,0.01981325651,800027,0.20423780676886452,12,0.15619486090110976
0.1,0.01721432348,800028,0.2041860699952853,17,0.15580919530122073
0.1,0.01822256313,800029,0.20414470243200741,14,0.1559518235607858
0.1,0.02044234923,800030,0.2046573571441889,14,0.1562946260672339
0.1,0.02972990121,800031,0.20654043768407437,16,0.15813838695938068
0.1,0.02251236156,800032,0.20501616193025674,14,0.15664801502298714
0.1,0.03866941375,800033,0.20863380412331334,15,0.16050855592608038
0.1,0.05223901756,800034,0.2141567085598208,15,0.16514164581062729
0.1,0.01166163844,800035,0.20314496880866864,16,0.15516333774061061
0.1,0.01817512215,800036,0.204185887898156,14,0.15594505888930596
0.1,0.03791306068,800037,0.20823097066489785,15,0.16028766795220101
0.1,0.0569420759,800038,0.21616991320140017,15,0.16701576175268365
0.1,0.03898905098,800039,0.20885151528170626,15,0.1606046816423429
0.1,0.01857526638,800040,0.20401224033416157,15,0.15600401641840506
0.1,0.03106607447,800041,0.20715158643612255,15,0.15845557635586152
0.1,0.04513295773,800042,0.21106464882188261,15,0.16256718127433514
0.1,0.05374549761,800043,0.21462208060715549,14,0.16572739009230586
0.1,0.02353647923,800044,0.20513920950475723,16,0.15683472763821016
0.1,0.04764605362,800045,0.21208931806961107,15,0.16344188317634328
0.1,0.02807616885,800046,0.2054997038309371,16,0.15776143328700923
0.1,0.03931953966,800047,0.20958301243385788,12,0.16070389305570734
0.1,0.02716885996,800048,0.20577998398533151,14,0.15756539904745567
0.1,0.00698118721,800049,0.20258238230127834,14,0.15481235122374057
