sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20883871066479651,14,0.14838040368412939
0.1,0.007188864364,800001,0.20615249069948705,20,0.14566124410890308
0.1,0.0248800395,800002,0.2079461486009099,21,0.14785987134997347
0.1,0.0221793804,800003,0.20767680344504724,23,0.14737095882850504
0.1,0.01848106178,800004,0.2069038094230703,25,0.14678864789826046
0.1,0.03142242103,800005,0.20974672966294516,25,0.1492634822934448
0.1,0.0310509311,800006,0.20956534199195032,25,0.14917555825140141
0.1,0.03675466264,800007,0.21116333343922233,25,0.15063193525813076
0.1,0.03700453326,800008,0.21114334048644381,25,0.15070131466390257
0.1,0.04057261234,800009,0.21238183633479113,25,0.15173144907934621
0.1,0.02859757958,800010,0.20894220416779632,25,0.14862052721481614
0.1,0.03821258868,800011,0.21184830955364042,23,0.15104070351368026
0.1,0.0210063303,800012,0.20737908317195938,25,0.14717496337210004
0.1,0.01188283019,800013,0.20590547354391658,22,0.14600927202603925
0.1,0.04828347272,800014,0.21519677568679907,24,0.15424203318099045
0.1,0.03064076818,800015,0.20938336038641003,21,0.14907996433615359
0.1,0.03883985278,800016,0.2118714209349771,23,0.15122208023926528
0.1,0.01092681137,800017,0.20600062396892271,25,0.14592504634056191
0.1,0.004377521349,800018,0.20547066882382176,25,0.14553375562569545
0.1,0.02154861535,800019,0.20742184189088123,25,0.14726530257730314
0.1,0.03765087566,800020,0.21170258141721082,25,0.15088386291046149
0.1,0.03729671432,800021,0.2110199858814755,25,0.15078253672923811
0.1,0.004768162221,800022,0.20533961044623486,25,0.14554661957798895
0.1,0.0107195281,800023,0.20591555317929608,25,0.14590762315628417
0.1,0.03024711087,800024,0.20929613431159397,25,0.14898860830777291
0.1,0.06471081095,800025,0.22247612906894806,25,0.16076423095286296
0.1,0.04631810424,800026,0.21425663269978601,25,0.15356663692297184
0.1,0.01981325651,800027,0.20712920247842492,25,0.14698693523725709
0.1,0.01721432348,800028,0.20672034404157563,25,0.14661391083612615
0.1,0.01822256313,800029,0.20685382022292936,25,0.14675171624798863
0.1,0.02044234923,800030,0.20711549787874242,25,0.14708442927186458
0.1,0.02972990121,800031,0.20916799261560701,25,0.1488703525647406
0.1,0.02251236156,800032,0.20748004998198083,21,0.1474273179026328
