sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20717554045901779,20,0.15296995932685772
0.1,0.007188864364,800001,0.20440819209306912,23,0.15020561002269106
0.1,0.0248800395,800002,0.20678481445974572,25,0.15244128631847176
0.1,0.0221793804,800003,0.20609300048625287,25,0.15194491405008889
0.1,0.01848106178,800004,0.20551963285146724,25,0.15135250473411543
0.1,0.03142242103,800005,0.20827751018062954,24,0.15386713110777761
0.1,0.0310509311,800006,0.20815110855500721,21,0.15377879288445509
0.1,0.03675466264,800007,0.20990644097850639,13,0.15525925752167333
0.1,0.03700453326,800008,0.20986116675582497,22,0.15532740179758298
0.1,0.04057261234,800009,0.21088808650412416,25,0.15637350970451042
0.1,0.02859757958,800010,0.20771530546422556,25,0.153213838999357
0.1,0.03821258868,800011,0.21020618764242635,20,0.15567215031330867
0.1,0.0210063303,800012,0.20592311419932749,20,0.15174528641121621
0.1,0.01188283019,800013,0.2048072909697512,20,0.15056074512873091
0.1,0.04828347272,800014,0.2136190765625218,20,0.15892245303268021
0.1,0.03064076818,800015,0.2079593337110866,25,0.15368095229329523
0.1,0.03883985278,800016,0.21068415863791293,25,0.15585668907639341
0.1,0.01092681137,800017,0.20461972943873169,25,0.1504758636665646
0.1,0.004377521349,800018,0.20418138633791444,25,0.15007764313962843
0.1,0.02154861535,800019,0.20607195551908788,25,0.15183633561632037
0.1,0.03765087566,800020,0.20997062507211947,25,0.15551143650305407
0.1,0.03729671432,800021,0.209958404070958,25,0.15540971897615144
0.1,0.004768162221,800022,0.20419914349422222,25,0.15009079954417198
0.1,0.0107195281,800023,0.20457760938803504,25,0.15045655725436252
0.1,0.03024711087,800024,0.20808513424761696,25,0.15358969986660534
0.1,0.06471081095,800025,0.22100917024787231,25,0.16553824987074625
0.1,0.04631810424,800026,0.212994473135969,25,0.15823640617882154
0.1,0.01981325651,800027,0.20578074026291679,25,0.1515530776159843
0.1,0.01721432348,800028,0.20535695098934101,25,0.15117476029252624
0.1,0.01822256313,800029,0.20542402588085404,25,0.15131575643564479
0.1,0.02044234923,800030,0.20579649504318442,25,0.15165326821540956
0.1,0.02972990121,800031,0.20779599232281976,25,0.15346776655772784
0.1,0.02251236156,800032,0.20626447842995899,25,0.1520018294544524
0.1,0.03866941375,800033,0.21033589810631553,25,0.15580563774544887
0.1,0.05223901756,800034,0.21533090631647728,25,0.16037342870587507
0.1,0.01166163844,800035,0.20471841379648051,25,0.150541790016957
0.1,0.01817512215,800036,0.20558179880570479,25,0.15131022582529935
0.1,0.03791306068,800037,0.21010137108311217,25,0.15558731632624823
0.1,0.0569420759,800038,0.217252088353938,25,0.16221998441248323
0.1,0.03898905098,800039,0.21047172113540014,25,0.15589901011619006
0.1,0.01857526638,800040,0.20558358653578884,25,0.15136754381823792
0.1,0.03106607447,800041,0.20821231085716674,25,0.15378164262371125
0.1,0.04513295773,800042,0.21256388550959571,25,0.15783679030383002
0.1,0.05374549761,800043,0.21593776471191989,24,0.16095011269029569
0.1,0.02353647923,800044,0.20636659530927953,22,0.15218640937569181
0.1,0.04764605362,800045,0.21348753727259059,22,0.15869643520102267
0.1,0.02807616885,800046,0.20728050860083128,25,0.15309971381072307
0.1,0.03931953966,800047,0.21058932778086087,25,0.15599697470755003
0.1,0.02716885996,800048,0.20727304714964118,25,0.15290387286719462
0.1,0.00698118721,800049,0.20430289812570848,25,0.15019327892061843
0.1,0.04088089995,800050,0.21125235051907029,25,0.15646959663501581
0.1,0.02407776435,800051,0.20651339236685615,25,0.15228709456051534
0.1,0.05023960699,800052,0.21440793332979427,25,0.1596278413590152
0.1,0.03368755698,800053,0.20882214721714468,25,0.15443312429077286
0.1,0.01511315076,800054,0.20514793926433217,25,0.15090673886324271
0.1,0.03312692105,800055,0.20868798664855157,25,0.15428968764809051
0.1,0.04923284634,800056,0.21414347245696561,25,0.1592609369810391
0.1,0.0510249264,800057,0.21487758907504892,25,0.15991688797493814
0.1,0.03487509509,800058,0.20930750596730494,25,0.15474492564518566
0.1,0.03202207048,800059,0.20841212886640711,25,0.15401347886666053
0.1,0.007325868558,800060,0.20439191830315656,25,0.15021404898931268
0.1,0.02458961247,800061,0.20669417306252219,25,0.15238426286413928
0.1,0.02127135859,800062,0.20618617007119089,21,0.15178999207431421
0.1,0.0142091091,800063,0.20493017035761477,21,0.15080643494550108
0.1,0.03250977608,800064,0.20852122195245956,21,0.15413409646121531
0.1,0.07151424191,800065,0.22441222355457996,14,0.16869665805057565
0.1,0.04808169009,800066,0.21437033035575395,19,0.15885202358826597
0.1,0.02517246374,800067,0.20692659811906577,25,0.15249888295626945
0.1,0.01260111688,800068,0.20459834127665408,25,0.15063091926139741
0.1,0.00726589075,800069,0.20429498269266375,25,0.15020925707945584
0.1,0.0170643507,800070,0.2053420597351901,24,0.15115390903917875
0.1,0.0387340239,800071,0.21029042951023996,24,0.15582572011796697
0.1,0.06608102918,800072,0.22160620293609737,25,0.16615713115450054
0.1,0.06640764383,800073,0.22185698495579054,25,0.16630578313192743
0.1,0.05343718018,800074,0.21627617300814783,25,0.16083245288100279
0.1,0.078149546,800075,0.22805493646338695,25,0.17198379534019625
0.1,0.03393245339,800076,0.20910468672988525,22,0.15449632100291893
0.1,0.0652103708,800077,0.2209512247687439,25,0.16576226573076364
0.1,0.03837018451,800078,0.21077160118981575,25,0.15571839488524161
0.1,0.01833772262,800079,0.20554698208203637,25,0.15133230076729542
0.1,0.02095071735,800080,0.20594876221752104,25,0.15173563718423341
0.1,0.02383549377,800081,0.20649080433099434,25,0.15224235546465939
0.1,0.08211141684,800082,0.23029694494391659,25,0.17403360113191388
0.1,0.01187032729,800083,0.20460337785360652,25,0.15056162451585137
0.1,0.04636784315,800084,0.21295090565561683,25,0.15825363589952482
0.1,0.02642177633,800085,0.20715524829905649,25,0.15274870553756525
0.1,0.03737867851,800086,0.20978750802545187,25,0.15543405184896369
0.1,0.0188835136,800087,0.20559474452108631,25,0.15141143836038509
0.1,0.06317543354,800088,0.2199939892844571,25,0.16485738150881116
0.1,0.05225432015,800089,0.21546572690872143,25,0.16037888481448498
0.1,0.05212398997,800090,0.21531355069870173,25,0.16032973023025893
0.1,0.04284405194,800091,0.21164717262860999,25,0.15708390043245096
0.1,0.009590049731,800092,0.20450170018161268,25,0.15036502410716937
0.1,0.03196449954,800093,0.20833935453646471,25,0.15400083978229676
0.1,0.0155398446,800094,0.20511207247537525,20,0.15095769192134087
0.1,0.0253371919,800095,0.2067788052070699,13,0.15252935926864142
0.1,0.02310069668,800096,0.20635900768954205,23,0.15210771249372279
0.1,0.03539712637,800097,0.20944577981099616,25,0.15488495880505129
0.1,0.03183508921,800098,0.20816584848478151,25,0.1539677111120645
0.1,0.01186954104,800099,0.20476313320334619,25,0.15055976071407173
