sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.21133387483387528,11,0.13942332832293544
0.1,0.007188864364,800001,0.20833776713498614,14,0.1367953197082788
0.1,0.0248800395,800002,0.21063927376433603,15,0.13892012903785386
0.1,0.0221793804,800003,0.20975719831687278,16,0.13844887637165412
0.1,0.01848106178,800004,0.20967450840684865,16,0.1378860960155365
0.1,0.03142242103,800005,0.21260302339280612,16,0.14027909579404255
0.1,0.0310509311,800006,0.21209998277966727,16,0.14019175037023612
0.1,0.03675466264,800007,0.213899183755237,15,0.14160116843148224
0.1,0.03700453326,800008,0.21398158396914008,16,0.14166850332323055
0.1,0.04057261234,800009,0.21512639352891974,15,0.142664653916319
0.1,0.02859757958,800010,0.21126367611116559,15,0.13965550948535338
0.1,0.03821258868,800011,0.21415084244765387,15,0.14199657834522342
0.1,0.0210063303,800012,0.21027238973149656,15,0.13825805668636848
0.1,0.01188283019,800013,0.20868516318009647,14,0.13713112547939563
0.1,0.04828347272,800014,0.21871564438512811,16,0.14509693911217714
0.1,0.03064076818,800015,0.21238585022790019,15,0.14010201916069728
0.1,0.03883985278,800016,0.21459958950237765,16,0.14217148684798994
0.1,0.01092681137,800017,0.20849272460054863,16,0.13705081501381614
0.1,0.004377521349,800018,0.20801772214987335,15,0.13667324573481518
0.1,0.02154861535,800019,0.21009622363338376,15,0.13834404546597603
0.1,0.03765087566,800020,0.21417170735322227,15,0.14184309787083288
0.1,0.03729671432,800021,0.21394130100740216,16,0.14174682370724012
0.1,0.004768162221,800022,0.20796589903710025,15,0.13668807384898379
0.1,0.0107195281,800023,0.20885371648170553,16,0.13703523753905555
0.1,0.03024711087,800024,0.21224273165548718,16,0.14001188699530967
0.1,0.06471081095,800025,0.22535740779433311,17,0.15142096014789164
0.1,0.04631810424,800026,0.21708520232962547,14,0.14444107470385212
0.1,0.01981325651,800027,0.20998992219648041,16,0.13807533891133436
0.1,0.01721432348,800028,0.20897747730921762,14,0.13771597310050401
0.1,0.01822256313,800029,0.20947159656819994,16,0.13784852402384468
0.1,0.02044234923,800030,0.20986394774610062,15,0.13816966012284726
0.1,0.02972990121,800031,0.21184595298511016,16,0.13989836912843326
0.1,0.02251236156,800032,0.21049391756567315,16,0.13850217717754193
0.1,0.03866941375,800033,0.21447139177608421,16,0.14212362352559943
0.1,0.05223901756,800034,0.21947136323564739,15,0.1464836497074016
0.1,0.01166163844,800035,0.20873382432512225,16,0.13711351742502936
0.1,0.01817512215,800036,0.20946953668749174,13,0.13784457498222216
0.1,0.03791306068,800037,0.21429509085762402,12,0.14191398569354194
0.1,0.0569420759,800038,0.22153253846388388,12,0.14824434691730534
0.1,0.03898905098,800039,0.21457085968197395,14,0.14221373275844923
0.1,0.01857526638,800040,0.2093134952357445,16,0.1378986757863275
