sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20856065303277682,25,0.14839112548482383
0.1,0.007188864364,800001,0.20508546521280163,25,0.14567304360995084
0.1,0.0248800395,800002,0.20775404929169591,25,0.14787067860088371
0.1,0.0221793804,800003,0.20738376816666976,25,0.14738190455090225
0.1,0.01848106178,800004,0.20647493884220419,25,0.14680213228396227
0.1,0.03142242103,800005,0.20912841273439903,25,0.14927587058075492
0.1,0.0310509311,800006,0.20946534315273771,25,0.14918750582479479
0.1,0.03675466264,800007,0.21093796357177083,25,0.15064434470015733
0.1,0.03700453326,800008,0.21097223111664112,25,0.15071314634868549
0.1,0.04057261234,800009,0.21153805757591221,25,0.15174708922363636
0.1,0.02859757958,800010,0.20895180754859885,25,0.14862829153428625
0.1,0.03821258868,800011,0.21051595590768971,25,0.15105616921591494
0.1,0.0210063303,800012,0.20781424659610476,25,0.14718672983624484
0.1,0.01188283019,800013,0.20640924077932607,25,0.14602291214938726
0.1,0.04828347272,800014,0.21589497788092379,25,0.15425379384225962
0.1,0.03064076818,800015,0.20998352502539255,25,0.14909274982609763
0.1,0.03883985278,800016,0.21209194886852042,25,0.15123336976121182
0.1,0.01092681137,800017,0.20476946558013287,25,0.14594065939291154
0.1,0.004377521349,800018,0.20562478913982729,25,0.14554322697584182
0.1,0.02154861535,800019,0.20727406603271961,25,0.14727384420300532
0.1,0.03765087566,800020,0.21115270113202367,25,0.15089347372856254
0.1,0.03729671432,800021,0.21064626163293895,25,0.15079543721663022
0.1,0.004768162221,800022,0.2056823625978155,25,0.14555781327278075
0.1,0.0107195281,800023,0.20599110794568781,25,0.14591953610177708
0.1,0.03024711087,800024,0.209743427578481,25,0.14900010359147714
0.1,0.06471081095,800025,0.222797538522124,25,0.16077555779860833
0.1,0.04631810424,800026,0.21553885132993855,25,0.15358221436654126
0.1,0.01981325651,800027,0.20811994917585799,25,0.14700177154901062
0.1,0.01721432348,800028,0.20660868116298017,25,0.14662507521614851
0.1,0.01822256313,800029,0.21033792741117799,25,0.14680082453341364
0.1,0.02044234923,800030,0.20684881856885345,25,0.14709628772235114
0.1,0.02972990121,800031,0.20898296363129104,25,0.14888384720394177
0.1,0.02251236156,800032,0.20867320095952263,25,0.14744184057728182
0.1,0.03866941375,800033,0.21154426739179247,25,0.15118276546491785
0.1,0.05223901756,800034,0.21746537603998428,25,0.15568363870468976
0.1,0.01166163844,800035,0.20674297405566244,25,0.14600161348199159
0.1,0.01817512215,800036,0.20652089167502749,25,0.14675692723186023
0.1,0.03791306068,800037,0.21162968951445024,25,0.15096810763343518
0.1,0.0569420759,800038,0.21867910949810107,25,0.1575032561283381
0.1,0.03898905098,800039,0.21289290021102519,25,0.1512777524099502
0.1,0.01857526638,800040,0.20668523229264829,25,0.14681256206685911
0.1,0.03106607447,800041,0.20901031223268282,25,0.14919260016749294
0.1,0.04513295773,800042,0.21489321822042143,25,0.15318519238212538
0.1,0.05374549761,800043,0.21646545053539562,25,0.15625458026840597
0.1,0.02353647923,800044,0.20768093582204353,25,0.14762010977454995
0.1,0.04764605362,800045,0.2144709412090729,25,0.15403205272098652
0.1,0.02807616885,800046,0.20788020511834518,25,0.14852188185403492
0.1,0.03931953966,800047,0.21278680079343104,25,0.15137518143084269
0.1,0.02716885996,800048,0.20900897713438299,25,0.1483280827812257
0.1,0.00698118721,800049,0.20440955209806813,25,0.1456639277090164
0.1,0.04088089995,800050,0.21321563403135335,25,0.15183736052382882
0.1,0.02407776435,800051,0.20807231275985189,25,0.14772034601469078
0.1,0.05023960699,800052,0.21523601787155094,25,0.1549477561510304
0.1,0.03368755698,800053,0.21078686409127909,25,0.14983354145869238
0.1,0.01511315076,800054,0.20407121029413286,25,0.14637890415510665
0.1,0.03312692105,800055,0.20986767696818079,25,0.14969074985798309
0.1,0.04923284634,800056,0.21605498438491719,25,0.15458865096771712
0.1,0.0510249264,800057,0.21644296859505477,25,0.15523413985623083
0.1,0.03487509509,800058,0.21025830815932015,25,0.15014058031414737
0.1,0.03202207048,800059,0.20982380083917002,25,0.14942012245698805
0.1,0.007325868558,800060,0.20611005986654107,25,0.14567970992694096
0.1,0.02458961247,800061,0.20996549690319813,25,0.14782726868312426
0.1,0.02127135859,800062,0.20763051927038856,25,0.14722844963892526
0.1,0.0142091091,800063,0.20736723161242995,25,0.14626086095540294
0.1,0.03250977608,800064,0.21020140024754363,25,0.14953989753496033
0.1,0.07151424191,800065,0.22540513112300217,25,0.16389315775415458
0.1,0.04808169009,800066,0.21562363628394463,25,0.15418413155519292
0.1,0.02517246374,800067,0.20789555124131492,25,0.14792705626818631
0.1,0.01260111688,800068,0.20538507490912247,25,0.14609084760501134
0.1,0.00726589075,800069,0.20786001610939561,25,0.14569217188542233
0.1,0.0170643507,800070,0.20695240657862696,25,0.14660641231841776
0.1,0.0387340239,800071,0.21015963506954233,25,0.15121153328943923
0.1,0.06608102918,800072,0.22306216108764265,25,0.16138523545315575
0.1,0.06640764383,800073,0.22512162205355107,25,0.1615424800945226
0.1,0.05343718018,800074,0.21799615755408774,25,0.15613751858394223
0.1,0.078149546,800075,0.22931263526128884,25,0.16713589104461607
0.1,0.03393245339,800076,0.21049078157667983,25,0.149895810911616
0.1,0.0652103708,800077,0.22591182942687807,25,0.16102748548057777
0.1,0.03837018451,800078,0.21159607149771209,25,0.151096696095079
0.1,0.01833772262,800079,0.20508753355808154,25,0.14679070012244738
0.1,0.02095071735,800080,0.20788044891212362,25,0.14717870233689392
0.1,0.02383549377,800081,0.20958693884618729,25,0.14768446517010503
0.1,0.08211141684,800082,0.23283726378620972,25,0.16916239928211788
0.1,0.01187032729,800083,0.20659660996299675,25,0.14601936677988633
0.1,0.04636784315,800084,0.21428608160692134,25,0.15359401562855429
0.1,0.02642177633,800085,0.20808830172417664,25,0.1481749147458449
0.1,0.03737867851,800086,0.21229019886124734,25,0.15082117343582996
0.1,0.0188835136,800087,0.20747933247163189,25,0.14686009937168384
0.1,0.06317543354,800088,0.22308012686968579,25,0.16010985046444934
0.1,0.05225432015,800089,0.21677493357168343,25,0.15568908315988614
0.1,0.05212398997,800090,0.21696481908650989,25,0.15563996347507084
0.1,0.04284405194,800091,0.21315643940659212,25,0.15244401427892448
0.1,0.009590049731,800092,0.20648257279655971,25,0.14583153644100752
0.1,0.03196449954,800093,0.20930360179427437,25,0.1494049490802849
0.1,0.0155398446,800094,0.20630698465157948,25,0.14641201450302727
0.1,0.0253371919,800095,0.20801382641332367,25,0.14795838120212207
0.1,0.02310069668,800096,0.20781410569869588,25,0.14754246653516026
0.1,0.03539712637,800097,0.21128279697103203,25,0.15027825760544347
0.1,0.03183508921,800098,0.20944826305174541,25,0.14937415514425112
0.1,0.01186954104,800099,0.20599328503243225,25,0.14601988756355821
