sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.20737425916463831,10,0.15296832763990281
0.1,0.007188864364,800001,0.20430055191781332,15,0.15020588341775309
0.1,0.0248800395,800002,0.20653820322189612,14,0.15243985234087976
0.1,0.0221793804,800003,0.20612564302382796,14,0.15194541782091528
0.1,0.01848106178,800004,0.20568932289009864,14,0.15135315293662335
0.1,0.03142242103,800005,0.2083631248622006,16,0.15386737029861686
0.1,0.0310509311,800006,0.20791002425848659,15,0.15378085268730171
0.1,0.03675466264,800007,0.2098483263617936,14,0.15525854150150975
0.1,0.03700453326,800008,0.20996308055446852,14,0.15532780959851861
0.1,0.04057261234,800009,0.21103615436092707,14,0.15637463857037687
0.1,0.02859757958,800010,0.20741490824012185,13,0.15321363577404148
0.1,0.03821258868,800011,0.20927407067838533,13,0.15567630073492131
0.1,0.0210063303,800012,0.20637793922619041,11,0.15174532434227186
0.1,0.01188283019,800013,0.20551245105966542,10,0.15056593074227761
0.1,0.04828347272,800014,0.21382561089651142,10,0.15892330715761097
0.1,0.03064076818,800015,0.20807283280817387,11,0.15367989009661451
0.1,0.03883985278,800016,0.21066112102713633,14,0.15585489493666249
0.1,0.01092681137,800017,0.20474050546921699,13,0.1504763727187215
0.1,0.004377521349,800018,0.20408973842549349,15,0.15007600194246015
0.1,0.02154861535,800019,0.20574203488009493,15,0.15183561582577193
0.1,0.03765087566,800020,0.21008615265987268,15,0.15551039194158378
0.1,0.03729671432,800021,0.21024419938680283,14,0.15541170758422898
0.1,0.004768162221,800022,0.2040494713977048,15,0.15008955066813887
0.1,0.0107195281,800023,0.20470551112606047,15,0.15045676840917352
0.1,0.03024711087,800024,0.20794107638260867,14,0.1535876678109826
0.1,0.06471081095,800025,0.22093210238058961,16,0.16553826947975789
0.1,0.04631810424,800026,0.21281432457552057,15,0.15823993124900754
0.1,0.01981325651,800027,0.20568022101819824,13,0.15155560826307637
0.1,0.01721432348,800028,0.20556545083662062,16,0.15117732721363034
0.1,0.01822256313,800029,0.20566131846146257,14,0.15131530831102821
0.1,0.02044234923,800030,0.20568321448536758,15,0.15165391228682562
0.1,0.02972990121,800031,0.20793191425320051,16,0.15346899279384035
0.1,0.02251236156,800032,0.20627876491519379,14,0.15200205181964047
0.1,0.03866941375,800033,0.21053251741095003,15,0.15580828193332968
0.1,0.05223901756,800034,0.21533951922182354,15,0.16037353428448622
0.1,0.01166163844,800035,0.20481954559959026,16,0.15053989229640075
0.1,0.01817512215,800036,0.20525984783405812,14,0.15131194344759927
0.1,0.03791306068,800037,0.2099674734135549,14,0.15558720113530902
0.1,0.0569420759,800038,0.21736604678744795,15,0.16222055957169518
0.1,0.03898905098,800039,0.21059384435627024,15,0.15590055926289995
