sigma_s,r_d,seed,w_best,iterations,best_f
0.1,0.02747569592,800000,0.21126285163418224,22,0.13942332940953292
0.1,0.007188864364,800001,0.2085026930519453,25,0.13679717603475142
0.1,0.0248800395,800002,0.21077791909996357,25,0.13891926526645329
0.1,0.0221793804,800003,0.21015395796359407,25,0.1384471847614665
0.1,0.01848106178,800004,0.2097060822181383,25,0.13788670377892695
0.1,0.03142242103,800005,0.21251160328875629,25,0.1402778989326442
0.1,0.0310509311,800006,0.2123555123150502,25,0.14019228853261639
0.1,0.03675466264,800007,0.21384032493817579,25,0.14160075412146572
0.1,0.03700453326,800008,0.21392616708733969,25,0.14166774876658195
0.1,0.04057261234,800009,0.21524867629238564,21,0.1426657743815973
0.1,0.02859757958,800010,0.21159833323608029,25,0.13965449305515093
0.1,0.03821258868,800011,0.21430108241280113,24,0.14199539902610789
0.1,0.0210063303,800012,0.21006050711569166,25,0.13825716274051408
0.1,0.01188283019,800013,0.2086664601161527,25,0.13713126618770025
0.1,0.04828347272,800014,0.21800033738500582,25,0.14509687285846243
0.1,0.03064076818,800015,0.21226010350802518,25,0.14009907214330988
0.1,0.03883985278,800016,0.21453001961091564,20,0.14217380345129849
0.1,0.01092681137,800017,0.20868509506076255,20,0.1370522466769995
0.1,0.004377521349,800018,0.2082254601189317,20,0.13667151290511773
0.1,0.02154861535,800019,0.21029835346473372,19,0.13834530956138541
0.1,0.03765087566,800020,0.21441353743253402,25,0.1418442681787761
0.1,0.03729671432,800021,0.21397146406288819,25,0.14174564504555232
0.1,0.004768162221,800022,0.20809859858494875,25,0.13668379421834018
0.1,0.0107195281,800023,0.2088226230410842,25,0.13703342872028723
0.1,0.03024711087,800024,0.21195444388587728,25,0.14001224663189568
0.1,0.06471081095,800025,0.22544553573201717,25,0.15141881612273284
0.1,0.04631810424,800026,0.21714283363157616,25,0.14444037036310423
0.1,0.01981325651,800027,0.20979856782415823,25,0.13807524000302959
0.1,0.01721432348,800028,0.209409715485842,25,0.1377155253361137
0.1,0.01822256313,800029,0.21005061627201518,25,0.1378496186397036
0.1,0.02044234923,800030,0.20983502265779258,25,0.13817004251097345
0.1,0.02972990121,800031,0.21194883420630492,25,0.13989785638274133
0.1,0.02251236156,800032,0.21033112663902481,25,0.1385013606482064
0.1,0.03866941375,800033,0.21454649872096324,25,0.14212333269216837
0.1,0.05223901756,800034,0.21946557345614989,25,0.14648047529743918
0.1,0.01166163844,800035,0.2085145311489684,25,0.1371121366958219
0.1,0.01817512215,800036,0.20939618392356335,25,0.13784315368778943
0.1,0.03791306068,800037,0.21429628187306751,25,0.14191328615225823
0.1,0.0569420759,800038,0.22178991506143583,24,0.14824389263684754
0.1,0.03898905098,800039,0.2145437719438017,25,0.14221418798832583
0.1,0.01857526638,800040,0.20948471020129322,25,0.1378981376061954
0.1,0.03106607447,800041,0.212304615125398,25,0.14019867980468356
0.1,0.04513295773,800042,0.21691923282256723,24,0.14405758551827363
0.1,0.05374549761,800043,0.22037873247150014,24,0.14703165842047064
0.1,0.02353647923,800044,0.21068421543366761,22,0.13867759868372689
0.1,0.04764605362,800045,0.21767882064317101,22,0.14487927843859019
0.1,0.02807616885,800046,0.21149732233269269,24,0.13954453670997188
0.1,0.03931953966,800047,0.21467332734969785,24,0.1423068252025485
0.1,0.02716885996,800048,0.2111962731889683,25,0.13936015018178813
0.1,0.00698118721,800049,0.20812986104898992,25,0.13678262936331784
0.1,0.04088089995,800050,0.2152390913313646,25,0.1427544613605021
0.1,0.02407776435,800051,0.2105537459685326,25,0.13877276157952445
0.1,0.05023960699,800052,0.21882440870804759,25,0.14576866315822948
0.1,0.03368755698,800053,0.21293717808868198,25,0.14081543484297857
