regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
moderate,0.1,38,3.0924186625189205,4.290480,20,0.013071325376664862,2.61025603905573000e-01,2.61025603905574055e-01,1.054712e-15,4.040645e-15,7.501165e-15,1,1
moderate,0.1,40,2.731491030580087,2.658918,20,0.016754082590300184,2.02327183792795240e-01,2.02327183792795573e-01,3.330669e-16,1.646180e-15,1.824897e-15,1,1
moderate,0.1,44,1.3245541657768349,0.394330,5,0.071279696601825454,6.68050814288834865e-02,6.68050814288833061e-02,1.804112e-16,2.700562e-15,1.037707e-16,1,1
strong,0.05,30,4.4063360239065599,2.292186,20,0.025753667964898665,3.09968581609711080e-01,3.09968581609702198e-01,8.881784e-15,2.865382e-14,2.053647e-15,1,1
strong,0.05,34,3.6528953352789619,0.993897,10,0.037475518679669494,2.21118154312202664e-01,2.21118154312203441e-01,7.771561e-16,3.514664e-15,6.626639e-16,1,1
strong,0.05,38,2.403752906834514,0.271397,5,0.086593101882139159,1.10931789548078169e-01,1.10931789548078197e-01,2.775558e-17,2.502040e-16,1.776401e-16,1,1
strong,0.05,40,2.5129816212157534,0.235643,5,0.079219961727284391,9.98317017580230837e-02,9.98317017580230420e-02,4.163336e-17,4.170355e-16,1.490924e-16,1,1
strong,0.05,44,3.268259055575601,0.251576,5,0.046818680776760845,9.96010837196634469e-02,9.96010837196634469e-02,0.000000e+00,0.000000e+00,1.475005e-16,1,1
strong,0.1,30,3.6904229079853299,6.431735,20,0.0091782688496444397,4.07693699668258080e-01,4.07693699667775078e-01,4.830025e-13,1.184719e-12,2.737206e-14,1,1
strong,0.1,34,1.3420083677470609,0.536419,10,0.06943597018676767,2.07645243940359853e-01,2.07645243940359991e-01,1.387779e-16,6.683412e-16,8.622028e-16,1,1
strong,0.1,38,0.54980338840050902,0.055433,5,0.42395521293083166,2.18292063717601459e-01,2.18292063717601459e-01,0.000000e+00,0.000000e+00,9.496645e-18,1,1
strong,0.1,40,2.7779351396155989,1.152427,10,0.016198519993668579,2.43128816261353159e-01,2.43128816261350966e-01,2.192690e-15,9.018637e-15,8.528964e-16,1,1
strong,0.1,44,4.5679188663629056,1.966140,10,0.0059906581741767028,2.92951349338806510e-01,2.92951349338803624e-01,2.886580e-15,9.853445e-15,1.475524e-15,1,1
strong,0.2,34,2.3179469508804043,6.403902,20,0.0058162658940694072,4.14856424084915021e-01,4.14856424079914632e-01,5.000389e-12,1.205330e-11,2.230277e-13,1,1
