regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,0.992,48,20,5.327031e-01,0.1332,1,6.415602e-06,1.424550e-21,3.370543e-55,6.224545e-03
weak,0.05,0.992,50,5,5.327031e-01,0.1058,1,3.215418e-06,7.139661e-22,8.557438e-16,4.964026e-03
weak,0.05,0.992,50,10,5.327031e-01,0.1058,1,3.215418e-06,7.139661e-22,2.378464e-28,4.964026e-03
weak,0.05,0.992,50,20,5.327031e-01,0.1058,1,3.215418e-06,7.139661e-22,1.341837e-57,4.964026e-03
weak,0.05,1.266,20,5,3.156681e-01,5.6449,0,6.311142e+01,1.401355e-14,5.301059e+00,-5.593359e+00
weak,0.05,1.266,20,10,3.156681e-01,5.6449,0,6.311142e+01,1.401355e-14,6.178086e-04,1.367630e-01
weak,0.05,1.266,20,20,3.156681e-01,5.6449,1,6.311142e+01,1.401355e-14,6.389781e-16,1.374068e-01
weak,0.05,1.266,22,5,3.156681e-01,4.4839,0,1.847333e+01,4.101903e-15,6.673638e-01,-6.029333e-01
weak,0.05,1.266,22,10,3.156681e-01,4.4839,0,1.847333e+01,4.101903e-15,2.459540e-05,1.101997e-01
weak,0.05,1.266,22,20,3.156681e-01,4.4839,1,1.847333e+01,4.101903e-15,2.543818e-18,1.102252e-01
weak,0.05,1.266,24,5,3.156681e-01,3.5617,0,5.643335e+00,1.253072e-15,8.401612e-02,-2.178404e-03
weak,0.05,1.266,24,10,3.156681e-01,3.5617,0,5.643335e+00,1.253072e-15,9.791606e-07,8.669891e-02
weak,0.05,1.266,24,20,3.156681e-01,3.5617,1,5.643335e+00,1.253072e-15,1.012712e-20,8.669992e-02
weak,0.05,1.266,26,5,3.156681e-01,2.8291,0,1.784579e+00,3.962562e-16,1.057700e-02,5.586436e-02
weak,0.05,1.266,26,10,3.156681e-01,2.8291,0,1.784579e+00,3.962562e-16,3.898109e-08,6.695571e-02
weak,0.05,1.266,26,20,3.156681e-01,2.8291,1,1.784579e+00,3.962562e-16,4.031679e-23,6.695575e-02
weak,0.05,1.266,28,5,3.156681e-01,2.2473,0,5.643335e-01,1.253072e-16,1.331566e-03,4.945972e-02
weak,0.05,1.266,28,10,3.156681e-01,2.2473,0,5.643335e-01,1.253072e-16,1.551865e-09,5.084552e-02
weak,0.05,1.266,28,20,3.156681e-01,2.2473,1,5.643335e-01,1.253072e-16,1.605040e-25,5.084552e-02
weak,0.05,1.266,30,5,3.156681e-01,1.7851,0,2.112485e-01,4.690658e-17,1.676342e-04,3.785760e-02
weak,0.05,1.266,30,10,3.156681e-01,1.7851,1,2.112485e-01,4.690658e-17,6.178086e-11,3.803093e-02
weak,0.05,1.266,30,20,3.156681e-01,1.7851,1,2.112485e-01,4.690658e-17,6.389781e-28,3.803093e-02
weak,0.05,1.266,32,5,3.156681e-01,1.4179,0,8.031443e-02,1.783339e-17,2.110390e-05,2.804486e-02
weak,0.05,1.266,32,10,3.156681e-01,1.4179,1,8.031443e-02,1.783339e-17,2.459540e-12,2.806657e-02
weak,0.05,1.266,32,20,3.156681e-01,1.4179,1,8.031443e-02,1.783339e-17,2.543818e-30,2.806657e-02
weak,0.05,1.266,34,5,3.156681e-01,1.1263,0,3.053470e-02,6.780064e-18,2.656823e-06,2.046895e-02
weak,0.05,1.266,34,10,3.156681e-01,1.1263,1,3.053470e-02,6.780064e-18,9.791606e-14,2.047167e-02
weak,0.05,1.266,34,20,3.156681e-01,1.1263,1,3.053470e-02,6.780064e-18,1.012712e-32,2.047167e-02
weak,0.05,1.266,36,5,3.156681e-01,0.8947,0,1.188315e-02,2.638590e-18,3.344742e-07,1.478202e-02
weak,0.05,1.266,36,10,3.156681e-01,0.8947,1,1.188315e-02,2.638590e-18,3.898109e-15,1.478236e-02
weak,0.05,1.266,36,20,3.156681e-01,0.8947,1,1.188315e-02,2.638590e-18,4.031679e-35,1.478236e-02
