regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.2,0.992,32,5,3.175879e-02,14.0936,0,1.441322e+04,3.200378e-12,1.132234e+04,-1.304308e+04
weak,0.2,0.992,32,10,3.175879e-02,14.0936,0,1.441322e+04,3.200378e-12,1.321283e+02,-1.427995e+02
weak,0.2,0.992,32,20,3.175879e-02,14.0936,0,1.441322e+04,3.200378e-12,1.314053e-06,3.074403e-01
weak,0.2,0.992,34,5,3.175879e-02,11.1949,0,2.665474e+03,5.918540e-13,1.425398e+03,-1.611554e+03
weak,0.2,0.992,34,10,3.175879e-02,11.1949,0,2.665474e+03,5.918540e-13,5.260122e+00,-5.353621e+00
weak,0.2,0.992,34,20,3.175879e-02,11.1949,0,2.665474e+03,5.918540e-13,5.231339e-09,2.770255e-01
weak,0.2,0.992,36,5,3.175879e-02,8.8925,0,5.424285e+02,1.204433e-13,1.794470e+02,-1.993112e+02
weak,0.2,0.992,36,10,3.175879e-02,8.8925,0,5.424285e+02,1.204433e-13,2.094092e-01,2.405310e-02
weak,0.2,0.992,36,20,3.175879e-02,8.8925,0,5.424285e+02,1.204433e-13,2.082633e-11,2.459205e-01
weak,0.2,0.992,38,5,3.175879e-02,7.0635,0,1.304048e+02,2.895569e-14,2.259103e+01,-2.453622e+01
weak,0.2,0.992,38,10,3.175879e-02,7.0635,0,1.304048e+02,2.895569e-14,8.336732e-03,2.063450e-01
weak,0.2,0.992,38,20,3.175879e-02,7.0635,1,1.304048e+02,2.895569e-14,8.291113e-14,2.150991e-01
weak,0.2,0.992,40,5,3.175879e-02,5.6108,0,3.275622e+01,7.273341e-15,2.844043e+00,-2.889696e+00
weak,0.2,0.992,40,10,3.175879e-02,5.6108,0,3.275622e+01,7.273341e-15,3.318913e-04,1.851329e-01
weak,0.2,0.992,40,20,3.175879e-02,5.6108,1,3.275622e+01,7.273341e-15,3.300752e-16,1.854787e-01
weak,0.2,0.992,42,5,3.175879e-02,4.4568,0,9.377449e+00,2.082212e-15,3.580438e-01,-2.248544e-01
weak,0.2,0.992,42,10,3.175879e-02,4.4568,0,9.377449e+00,2.082212e-15,1.321283e-05,1.578089e-01
weak,0.2,0.992,42,20,3.175879e-02,4.4568,1,9.377449e+00,2.082212e-15,1.314053e-18,1.578225e-01
weak,0.2,0.992,44,5,3.175879e-02,3.5401,0,2.843584e+00,6.314025e-16,4.507504e-02,8.498713e-02
weak,0.2,0.992,44,10,3.175879e-02,3.5401,0,2.843584e+00,6.314025e-16,5.260122e-07,1.326771e-01
weak,0.2,0.992,44,20,3.175879e-02,3.5401,1,2.843584e+00,6.314025e-16,5.231339e-21,1.326777e-01
weak,0.2,0.992,46,5,3.175879e-02,2.8120,0,8.992202e-01,1.996670e-16,5.674611e-03,1.044048e-01
weak,0.2,0.992,46,10,3.175879e-02,2.8120,0,8.992202e-01,1.996670e-16,2.094092e-08,1.103561e-01
weak,0.2,0.992,46,20,3.175879e-02,2.8120,1,8.992202e-01,1.996670e-16,2.082633e-23,1.103562e-01
weak,0.2,0.992,48,5,3.175879e-02,2.2337,0,2.843584e-01,6.314025e-17,7.143912e-04,9.020962e-02
weak,0.2,0.992,48,10,3.175879e-02,2.2337,0,2.843584e-01,6.314025e-17,8.336732e-10,9.095318e-02
weak,0.2,0.992,48,20,3.175879e-02,2.2337,1,2.843584e-01,6.314025e-17,8.291113e-26,9.095318e-02
weak,0.2,0.992,50,5,3.175879e-02,1.7743,0,1.021165e-01,2.267441e-17,8.993653e-05,7.429638e-02
weak,0.2,0.992,50,10,3.175879e-02,1.7743,1,1.021165e-01,2.267441e-17,3.318913e-11,7.438939e-02
weak,0.2,0.992,50,20,3.175879e-02,1.7743,1,1.021165e-01,2.267441e-17,3.300752e-28,7.438939e-02
weak,0.2,1.266,20,5,1.949829e-02,91.3880,0,2.013105e+12,4.469991e-04,2.013105e+12,-5.818636e+11
weak,0.2,1.266,20,10,1.949829e-02,91.3880,0,9.362132e+13,2.078811e-02,9.362132e+13,-6.678922e+13
weak,0.2,1.266,20,20,1.949829e-02,91.3880,0,1.951230e+14,4.332600e-02,6.715975e+13,-7.749012e+13
weak,0.2,1.266,22,5,1.949829e-02,72.5921,0,1.922500e+11,4.268809e-05,1.922500e+11,-7.082072e+10
weak,0.2,1.266,22,10,1.949829e-02,72.5921,0,2.827319e+12,6.277909e-04,2.827319e+12,-2.588906e+12
weak,0.2,1.266,22,20,1.949829e-02,72.5921,0,3.206136e+12,7.119052e-04,2.673678e+11,-3.028150e+11
weak,0.2,1.266,24,5,1.949829e-02,57.6619,0,1.835974e+10,4.076680e-06,1.835974e+10,-8.634040e+09
weak,0.2,1.266,24,10,1.949829e-02,57.6619,0,8.538366e+10,1.895898e-05,8.538366e+10,-1.005469e+11
weak,0.2,1.266,24,20,1.949829e-02,57.6619,0,8.611173e+10,1.912065e-05,1.064410e+09,-1.185536e+09
weak,0.2,1.266,26,5,1.949829e-02,45.8025,0,1.753341e+09,3.893200e-07,1.753341e+09,-1.054458e+09
weak,0.2,1.266,26,10,1.949829e-02,45.8025,0,3.513771e+09,7.802138e-07,3.312333e+09,-3.912675e+09
weak,0.2,1.266,26,20,1.949829e-02,45.8025,0,3.513771e+09,7.802138e-07,4.237494e+06,-4.649694e+06
weak,0.2,1.266,28,5,1.949829e-02,36.3822,0,1.674428e+08,3.717977e-08,1.674428e+08,-1.290165e+08
weak,0.2,1.266,28,10,1.949829e-02,36.3822,0,2.022543e+08,4.490947e-08,1.318664e+08,-1.525562e+08
weak,0.2,1.266,28,20,1.949829e-02,36.3822,0,2.022543e+08,4.490947e-08,1.686977e+04,-1.826654e+04
weak,0.2,1.266,30,5,1.949829e-02,28.8994,0,1.599066e+07,3.550640e-09,1.599066e+07,-1.581586e+07
weak,0.2,1.266,30,10,1.949829e-02,28.8994,0,1.599066e+07,3.550640e-09,5.249695e+06,-5.959702e+06
weak,0.2,1.266,30,20,1.949829e-02,28.8994,0,1.599066e+07,3.550640e-09,6.715975e+01,-7.151335e+01
weak,0.2,1.266,32,5,1.949829e-02,22.9556,0,1.636135e+06,3.632950e-10,1.612394e+06,-1.942642e+06
weak,0.2,1.266,32,10,1.949829e-02,22.9556,0,1.636135e+06,3.632950e-10,2.089941e+05,-2.332566e+05
weak,0.2,1.266,32,20,1.949829e-02,22.9556,0,1.636135e+06,3.632950e-10,2.673678e-01,5.275382e-02
weak,0.2,1.266,34,5,1.949829e-02,18.2343,0,2.069946e+05,4.596202e-11,2.029884e+05,-2.390860e+05
weak,0.2,1.266,34,10,1.949829e-02,18.2343,0,2.069946e+05,4.596202e-11,8.320206e+03,-9.145609e+03
weak,0.2,1.266,34,20,1.949829e-02,18.2343,0,2.069946e+05,4.596202e-11,1.064410e-03,3.040819e-01
weak,0.2,1.266,36,5,1.949829e-02,14.4840,0,3.203592e+04,7.113404e-12,2.555473e+04,-2.948299e+04
weak,0.2,1.266,36,10,1.949829e-02,14.4840,0,3.203592e+04,7.113404e-12,3.312333e+02,-3.589487e+02
weak,0.2,1.266,36,20,1.949829e-02,14.4840,0,3.203592e+04,7.113404e-12,4.237494e-06,2.721616e-01
weak,0.2,1.266,38,5,1.949829e-02,11.5051,0,5.858974e+03,1.300954e-12,3.217150e+03,-3.642618e+03
weak,0.2,1.266,38,10,1.949829e-02,11.5051,0,5.858974e+03,1.300954e-12,1.318664e+01,-1.389365e+01
weak,0.2,1.266,38,20,1.949829e-02,11.5051,0,5.858974e+03,1.300954e-12,1.686977e-08,2.379314e-01
weak,0.2,1.266,40,5,1.949829e-02,9.1388,0,1.187406e+03,2.636571e-13,4.050152e+02,-4.507471e+02
weak,0.2,1.266,40,10,1.949829e-02,9.1388,0,1.187406e+03,2.636571e-13,5.249695e-01,-3.530425e-01
weak,0.2,1.266,40,20,1.949829e-02,9.1388,0,1.187406e+03,2.636571e-13,6.715975e-11,2.037110e-01
weak,0.2,1.266,42,5,1.949829e-02,7.2592,0,2.854393e+02,6.338025e-14,5.098839e+01,-5.575381e+01
weak,0.2,1.266,42,10,1.949829e-02,7.2592,0,2.854393e+02,6.338025e-14,2.089941e-02,1.487702e-01
weak,0.2,1.266,42,20,1.949829e-02,7.2592,1,2.854393e+02,6.338025e-14,2.673678e-13,1.707349e-01
weak,0.2,1.266,44,5,1.949829e-02,5.7662,0,7.169911e+01,1.592040e-14,6.419058e+00,-6.807267e+00
weak,0.2,1.266,44,10,1.949829e-02,5.7662,0,7.169911e+01,1.592040e-14,8.320206e-04,1.392205e-01
weak,0.2,1.266,44,20,1.949829e-02,5.7662,1,7.169911e+01,1.592040e-14,1.064410e-15,1.400881e-01
weak,0.2,1.266,46,5,1.949829e-02,4.5802,0,2.063305e+01,4.581458e-15,8.081115e-01,-7.518466e-01
weak,0.2,1.266,46,10,1.949829e-02,4.5802,0,2.063305e+01,4.581458e-15,3.312333e-05,1.125521e-01
weak,0.2,1.266,46,20,1.949829e-02,4.5802,1,2.063305e+01,4.581458e-15,4.237494e-18,1.125864e-01
weak,0.2,1.266,48,5,1.949829e-02,3.6382,0,6.276352e+00,1.393630e-15,1.017352e-01,-1.900356e-02
weak,0.2,1.266,48,10,1.949829e-02,3.6382,0,6.276352e+00,1.393630e-15,1.318664e-06,8.871220e-02
weak,0.2,1.266,48,20,1.949829e-02,3.6382,1,6.276352e+00,1.393630e-15,1.686977e-20,8.871356e-02
weak,0.2,1.266,50,5,1.949829e-02,2.8899,0,1.984757e+00,4.407045e-16,1.280770e-02,5.518204e-02
weak,0.2,1.266,50,10,1.949829e-02,2.8899,0,1.984757e+00,4.407045e-16,5.249695e-08,6.862274e-02
weak,0.2,1.266,50,20,1.949829e-02,2.8899,1,1.984757e+00,4.407045e-16,6.715975e-23,6.862279e-02
weak,0.2,1.548,20,5,1.304110e-02,136.6379,0,2.006126e+14,4.454495e-02,2.006126e+14,-3.863694e+13
weak,0.2,1.548,20,10,1.304110e-02,136.6379,0,6.719457e+16,1.492019e+01,6.719457e+16,-3.130043e+16
weak,0.2,1.548,20,20,1.304110e-02,136.6379,0,1.621148e+18,3.599672e+02,1.621148e+18,-1.940831e+18
weak,0.2,1.548,22,5,1.304110e-02,108.5354,0,1.915836e+13,4.254010e-03,1.915836e+13,-4.690970e+12
weak,0.2,1.548,22,10,1.304110e-02,108.5354,0,2.029244e+15,4.505826e-01,2.029244e+15,-1.209378e+15
weak,0.2,1.548,22,20,1.304110e-02,108.5354,0,9.393229e+15,2.085716e+00,6.453908e+15,-7.558988e+15
weak,0.2,1.548,24,5,1.304110e-02,86.2127,0,1.829609e+12,4.062548e-04,1.829609e+12,-5.703586e+11
weak,0.2,1.548,24,10,1.304110e-02,86.2127,0,6.128218e+13,1.360738e-02,6.128218e+13,-4.681389e+13
weak,0.2,1.548,24,20,1.304110e-02,86.2127,0,1.029157e+14,2.285187e-02,2.569347e+13,-2.949727e+13
weak,0.2,1.548,26,5,1.304110e-02,68.4812,0,1.747263e+11,3.879703e-05,1.747263e+11,-6.945653e+10
weak,0.2,1.548,26,10,1.304110e-02,68.4812,0,1.850692e+12,4.109362e-04,1.850692e+12,-1.815584e+12
weak,0.2,1.548,26,20,1.304110e-02,68.4812,0,1.951477e+12,4.333150e-04,1.022875e+11,-1.153255e+11
weak,0.2,1.548,28,5,1.304110e-02,54.3965,0,1.668623e+10,3.705088e-06,1.668623e+10,-8.472434e+09
weak,0.2,1.548,28,10,1.304110e-02,54.3965,0,5.903629e+10,1.310869e-05,5.876085e+10,-7.055118e+10
weak,0.2,1.548,28,20,1.304110e-02,54.3965,0,5.903629e+10,1.310869e-05,4.072141e+08,-4.517178e+08
weak,0.2,1.548,30,5,1.304110e-02,43.2087,0,1.593523e+09,3.538331e-07,1.593523e+09,-1.035328e+09
weak,0.2,1.548,30,10,1.304110e-02,43.2087,0,2.646422e+09,5.876236e-07,2.339312e+09,-2.746916e+09
weak,0.2,1.548,30,20,1.304110e-02,43.2087,0,2.646422e+09,5.876236e-07,1.621148e+06,-1.772440e+06
weak,0.2,1.548,32,5,1.304110e-02,34.3219,0,1.521802e+08,3.379080e-08,1.521802e+08,-1.267533e+08
weak,0.2,1.548,32,10,1.304110e-02,34.3219,0,1.699996e+08,3.774748e-08,9.312968e+07,-1.071606e+08
weak,0.2,1.548,32,20,1.304110e-02,34.3219,0,1.699996e+08,3.774748e-08,6.453908e+03,-6.965827e+03
weak,0.2,1.548,34,5,1.304110e-02,27.2629,0,1.453310e+07,3.226996e-09,1.453310e+07,-1.554820e+07
weak,0.2,1.548,34,10,1.304110e-02,27.2629,0,1.453310e+07,3.226996e-09,3.707559e+06,-4.188495e+06
weak,0.2,1.548,34,20,1.304110e-02,27.2629,0,1.453310e+07,3.226996e-09,2.569347e+01,-2.708329e+01
weak,0.2,1.548,36,5,1.304110e-02,21.6557,0,1.597969e+06,3.548204e-10,1.597969e+06,-1.910983e+06
weak,0.2,1.548,36,10,1.304110e-02,21.6557,0,1.597969e+06,3.548204e-10,1.476006e+05,-1.640164e+05
weak,0.2,1.548,36,20,1.304110e-02,21.6557,0,1.597969e+06,3.548204e-10,1.022875e-01,1.985328e-01
weak,0.2,1.548,38,5,1.304110e-02,17.2017,0,2.181149e+05,4.843123e-11,2.011724e+05,-2.353396e+05
weak,0.2,1.548,38,10,1.304110e-02,17.2017,0,2.181149e+05,4.843123e-11,5.876085e+03,-6.433861e+03
weak,0.2,1.548,38,20,1.304110e-02,17.2017,0,2.181149e+05,4.843123e-11,4.072141e-04,2.720066e-01
weak,0.2,1.548,40,5,1.304110e-02,13.6638,0,3.520500e+04,7.817081e-12,2.532611e+04,-2.903931e+04
weak,0.2,1.548,40,10,1.304110e-02,13.6638,0,3.520500e+04,7.817081e-12,2.339312e+02,-2.525891e+02
weak,0.2,1.548,40,20,1.304110e-02,13.6638,0,3.520500e+04,7.817081e-12,1.621148e-06,2.366564e-01
weak,0.2,1.548,42,5,1.304110e-02,10.8535,0,6.828681e+03,1.516272e-12,3.188368e+03,-3.590032e+03
weak,0.2,1.548,42,10,1.304110e-02,10.8535,0,6.828681e+03,1.516272e-12,9.312968e+00,-9.749595e+00
weak,0.2,1.548,42,20,1.304110e-02,10.8535,0,6.828681e+03,1.516272e-12,6.453908e-09,2.006437e-01
weak,0.2,1.548,44,5,1.304110e-02,8.6213,0,1.494842e+03,3.319215e-13,4.013917e+02,-4.445326e+02
weak,0.2,1.548,44,10,1.304110e-02,8.6213,0,1.494842e+03,3.319215e-13,3.707559e-01,-2.263557e-01
weak,0.2,1.548,44,20,1.304110e-02,8.6213,0,1.494842e+03,3.319215e-13,2.569347e-11,1.658138e-01
weak,0.2,1.548,46,5,1.304110e-02,6.8481,0,3.670404e+02,8.149933e-14,5.053222e+01,-5.504654e+01
weak,0.2,1.548,46,10,1.304110e-02,6.8481,0,3.670404e+02,8.149933e-14,1.476006e-02,1.179949e-01
weak,0.2,1.548,46,20,1.304110e-02,6.8481,1,3.670404e+02,8.149933e-14,1.022875e-13,1.334719e-01
weak,0.2,1.548,48,5,1.304110e-02,5.4397,0,9.678864e+01,2.149139e-14,6.361630e+00,-6.753828e+00
weak,0.2,1.548,48,10,1.304110e-02,5.4397,0,9.678864e+01,2.149139e-14,5.876085e-04,1.040164e-01
weak,0.2,1.548,48,20,1.304110e-02,5.4397,1,9.678864e+01,2.149139e-14,4.072141e-16,1.046279e-01
weak,0.2,1.548,50,5,1.304110e-02,4.3209,0,2.922970e+01,6.490297e-15,8.008818e-01,-7.738905e-01
weak,0.2,1.548,50,10,1.304110e-02,4.3209,0,2.922970e+01,6.490297e-15,2.339312e-05,7.987103e-02
weak,0.2,1.548,50,20,1.304110e-02,4.3209,1,2.922970e+01,6.490297e-15,1.621148e-18,7.989522e-02
weak,0.2,1.967,20,5,8.076880e-03,220.6185,0,5.291508e+16,1.174951e+01,5.291508e+16,-6.437913e+15
weak,0.2,1.967,20,10,8.076880e-03,220.6185,0,1.782973e+20,3.958996e+04,1.782973e+20,-5.060506e+19
weak,0.2,1.967,20,20,8.076880e-03,220.6185,0,4.622405e+23,1.026380e+08,4.622405e+23,-3.489599e+23
weak,0.2,1.967,22,5,8.076880e-03,175.2435,0,5.053351e+15,1.122069e+00,5.053351e+15,-7.797914e+14
weak,0.2,1.967,22,10,8.076880e-03,175.2435,0,5.384493e+18,1.195598e+03,5.384493e+18,-1.948511e+18
weak,0.2,1.967,22,20,8.076880e-03,175.2435,0,1.395944e+21,3.099618e+05,1.395944e+21,-1.353643e+21
weak,0.2,1.967,24,5,8.076880e-03,139.2009,0,4.825913e+14,1.071568e-01,4.825913e+14,-9.456492e+13
weak,0.2,1.967,24,10,8.076880e-03,139.2009,0,1.626091e+17,3.610647e+01,1.626091e+17,-7.515032e+16
weak,0.2,1.967,24,20,8.076880e-03,139.2009,0,4.388925e+18,9.745372e+02,4.387821e+18,-5.261087e+18
weak,0.2,1.967,26,5,8.076880e-03,110.5712,0,4.608711e+13,1.023339e-02,4.608711e+13,-1.148303e+13
weak,0.2,1.967,26,10,8.076880e-03,110.5712,0,4.910716e+15,1.090398e+00,4.910716e+15,-2.903500e+15
weak,0.2,1.967,26,20,8.076880e-03,110.5712,0,2.433231e+16,5.402858e+00,1.746823e+16,-2.048780e+16
weak,0.2,1.967,28,5,8.076880e-03,87.8298,0,4.401285e+12,9.772815e-04,4.401285e+12,-1.396411e+12
weak,0.2,1.967,28,10,8.076880e-03,87.8298,0,1.483013e+14,3.292949e-02,1.483013e+14,-1.123861e+14
weak,0.2,1.967,28,20,8.076880e-03,87.8298,0,2.569913e+14,5.706352e-02,6.954228e+13,-7.993893e+13
weak,0.2,1.967,30,5,8.076880e-03,69.7657,0,4.203194e+11,9.332966e-05,4.203194e+11,-1.700807e+11
weak,0.2,1.967,30,10,8.076880e-03,69.7657,0,4.478626e+12,9.944548e-04,4.478626e+12,-4.358444e+12
weak,0.2,1.967,30,20,8.076880e-03,69.7657,0,4.766224e+12,1.058314e-03,2.768528e+11,-3.124985e+11
weak,0.2,1.967,32,5,8.076880e-03,55.4169,0,4.014019e+10,8.912913e-06,4.014019e+10,-2.075060e+10
weak,0.2,1.967,32,10,8.076880e-03,55.4169,0,1.417973e+11,3.148533e-05,1.409585e+11,-1.693543e+11
weak,0.2,1.967,32,20,8.076880e-03,55.4169,0,1.417973e+11,3.148533e-05,1.102171e+09,-1.223877e+09
weak,0.2,1.967,34,5,8.076880e-03,44.0192,0,3.833359e+09,8.511766e-07,3.833359e+09,-2.536205e+09
weak,0.2,1.967,34,10,8.076880e-03,44.0192,0,6.318107e+09,1.402901e-06,5.611660e+09,-6.593469e+09
weak,0.2,1.967,34,20,8.076880e-03,44.0192,0,6.318107e+09,1.402901e-06,4.387821e+06,-4.801677e+06
weak,0.2,1.967,36,5,8.076880e-03,34.9657,0,3.660829e+08,8.128673e-08,3.660829e+08,-3.105646e+08
weak,0.2,1.967,36,10,8.076880e-03,34.9657,0,4.058939e+08,9.012656e-08,2.234042e+08,-2.572057e+08
weak,0.2,1.967,36,20,8.076880e-03,34.9657,0,4.058939e+08,9.012656e-08,1.746823e+04,-1.886959e+04
weak,0.2,1.967,38,5,8.076880e-03,27.7742,0,3.496065e+07,7.762823e-09,3.496065e+07,-3.810307e+07
weak,0.2,1.967,38,10,8.076880e-03,27.7742,0,3.503779e+07,7.779952e-09,8.893881e+06,-1.005265e+07
weak,0.2,1.967,38,20,8.076880e-03,27.7742,0,3.503779e+07,7.779952e-09,6.954228e+01,-7.394866e+01
weak,0.2,1.967,40,5,8.076880e-03,22.0618,0,3.925214e+06,8.715725e-10,3.925214e+06,-4.684077e+06
weak,0.2,1.967,40,10,8.076880e-03,22.0618,0,3.925214e+06,8.715725e-10,3.540718e+05,-3.936298e+05
weak,0.2,1.967,40,20,8.076880e-03,22.0618,0,3.925214e+06,8.715725e-10,2.768528e-01,-3.528901e-03
weak,0.2,1.967,42,5,8.076880e-03,17.5243,0,5.499815e+05,1.221204e-10,4.941551e+05,-5.769640e+05
weak,0.2,1.967,42,10,8.076880e-03,17.5243,0,5.499815e+05,1.221204e-10,1.409585e+04,-1.544052e+04
weak,0.2,1.967,42,20,8.076880e-03,17.5243,0,5.499815e+05,1.221204e-10,1.102171e-03,2.519761e-01
weak,0.2,1.967,44,5,8.076880e-03,13.9201,0,9.371132e+04,2.080809e-11,6.221045e+04,-7.120752e+04
weak,0.2,1.967,44,10,8.076880e-03,13.9201,0,9.371132e+04,2.080809e-11,5.611660e+02,-6.064930e+02
weak,0.2,1.967,44,20,8.076880e-03,13.9201,0,9.371132e+04,2.080809e-11,4.387821e-06,2.159337e-01
weak,0.2,1.967,46,5,8.076880e-03,11.0571,0,1.846434e+04,4.099908e-12,7.831831e+03,-8.805046e+03
weak,0.2,1.967,46,10,8.076880e-03,11.0571,0,1.846434e+04,4.099908e-12,2.234042e+01,-2.369750e+01
weak,0.2,1.967,46,20,8.076880e-03,11.0571,0,1.846434e+04,4.099908e-12,1.746823e-08,1.791739e-01
weak,0.2,1.967,48,5,8.076880e-03,8.7830,0,4.879300e+03,1.083422e-12,9.859691e+02,-1.090693e+03
weak,0.2,1.967,48,10,8.076880e-03,8.7830,0,4.879300e+03,1.083422e-12,8.893881e-01,-7.966345e-01
weak,0.2,1.967,48,20,8.076880e-03,8.7830,0,4.879300e+03,1.083422e-12,6.954228e-11,1.443812e-01
weak,0.2,1.967,50,5,8.076880e-03,6.9766,0,1.942484e+03,4.313182e-13,1.241262e+02,-1.352650e+02
weak,0.2,1.967,50,10,8.076880e-03,6.9766,0,1.942484e+03,4.313182e-13,3.540718e-02,7.574453e-02
weak,0.2,1.967,50,20,8.076880e-03,6.9766,1,1.942484e+03,4.313182e-13,2.768528e-13,1.128805e-01
weak,0.2,2.511,20,5,4.956299e-03,359.5241,0,2.041340e+19,4.532685e+03,2.041340e+19,-1.712877e+18
weak,0.2,2.511,20,10,4.956299e-03,359.5241,0,6.195326e+23,1.375639e+08,6.195326e+23,-1.085692e+23
weak,0.2,2.511,20,20,4.956299e-03,359.5241,0,1.880137e+29,4.174743e+13,1.880137e+29,-8.455957e+28
weak,0.2,2.511,22,5,4.956299e-03,285.5802,0,1.949465e+18,4.328681e+02,1.949465e+18,-2.071867e+17
weak,0.2,2.511,22,10,4.956299e-03,285.5802,0,1.870958e+22,4.154362e+06,1.870958e+22,-4.168116e+21
weak,0.2,2.511,22,20,4.956299e-03,285.5802,0,5.677924e+26,1.260752e+11,5.677924e+26,-3.267332e+26
weak,0.2,2.511,24,5,4.956299e-03,226.8444,0,1.861724e+17,4.133858e+01,1.861724e+17,-2.508646e+16
weak,0.2,2.511,24,10,4.956299e-03,226.8444,0,5.650204e+20,1.254597e+05,5.650204e+20,-1.602469e+20
weak,0.2,2.511,24,20,4.956299e-03,226.8444,0,1.714706e+24,3.807411e+08,1.714706e+24,-1.264797e+24
weak,0.2,2.511,26,5,4.956299e-03,180.1889,0,1.777933e+16,3.947804e+00,1.777933e+16,-3.040973e+15
weak,0.2,2.511,26,10,4.956299e-03,180.1889,0,1.706334e+19,3.788823e+03,1.706334e+19,-6.170339e+18
weak,0.2,2.511,26,20,4.956299e-03,180.1889,0,5.178328e+21,1.149820e+06,5.178328e+21,-4.905385e+21
weak,0.2,2.511,28,5,4.956299e-03,143.1291,0,1.697913e+15,3.770123e-01,1.697913e+15,-3.690941e+14
weak,0.2,2.511,28,10,4.956299e-03,143.1291,0,5.153047e+17,1.144206e+02,5.153047e+17,-2.379839e+17
weak,0.2,2.511,28,20,4.956299e-03,143.1291,0,1.593516e+19,3.538316e+03,1.586418e+19,-1.906194e+19
weak,0.2,2.511,30,5,4.956299e-03,113.6915,0,1.621494e+14,3.600440e-02,1.621494e+14,-4.486090e+13
weak,0.2,2.511,30,10,4.956299e-03,113.6915,0,1.556195e+16,3.455448e+00,1.556195e+16,-9.194949e+15
weak,0.2,2.511,30,20,4.956299e-03,113.6915,0,8.320657e+16,1.847557e+01,6.315643e+16,-7.421802e+16
weak,0.2,2.511,32,5,4.956299e-03,90.3084,0,1.548515e+13,3.438393e-03,1.548515e+13,-5.460837e+12
weak,0.2,2.511,32,10,4.956299e-03,90.3084,0,4.699635e+14,1.043529e-01,4.699635e+14,-3.559188e+14
weak,0.2,2.511,32,20,4.956299e-03,90.3084,0,8.393188e+14,1.863662e-01,2.514303e+14,-2.895314e+14
weak,0.2,2.511,34,5,4.956299e-03,71.7345,0,1.478820e+12,3.283640e-04,1.478820e+12,-6.658268e+11
weak,0.2,2.511,34,10,4.956299e-03,71.7345,0,1.419267e+13,3.151406e-03,1.419267e+13,-1.380321e+13
weak,0.2,2.511,34,20,4.956299e-03,71.7345,0,1.519287e+13,3.373495e-03,1.000962e+12,-1.131646e+12
weak,0.2,2.511,36,5,4.956299e-03,56.9807,0,1.412262e+11,3.135852e-05,1.412262e+11,-8.132414e+10
weak,0.2,2.511,36,10,4.956299e-03,56.9807,0,4.489205e+11,9.968039e-05,4.465079e+11,-5.363585e+11
weak,0.2,2.511,36,20,4.956299e-03,56.9807,0,4.489205e+11,9.968039e-05,3.984902e+09,-4.431271e+09
weak,0.2,2.511,38,5,4.956299e-03,45.2614,0,1.348700e+10,2.994716e-06,1.348700e+10,-9.951129e+09
weak,0.2,2.511,38,10,4.956299e-03,45.2614,0,2.023155e+10,4.492307e-06,1.777580e+10,-2.088251e+10
weak,0.2,2.511,38,20,4.956299e-03,45.2614,0,2.023155e+10,4.492307e-06,1.586418e+07,-1.738261e+07
weak,0.2,2.511,40,5,4.956299e-03,35.9524,0,1.287998e+09,2.859931e-07,1.287998e+09,-1.219972e+09
weak,0.2,2.511,40,10,4.956299e-03,35.9524,0,1.356578e+09,3.012208e-07,7.076673e+08,-8.146259e+08
weak,0.2,2.511,40,20,4.956299e-03,35.9524,0,1.356578e+09,3.012208e-07,6.315643e+04,-6.830083e+04
weak,0.2,2.511,42,5,4.956299e-03,28.5580,0,2.389104e+08,5.304876e-08,1.242736e+08,-1.498551e+08
weak,0.2,2.511,42,10,4.956299e-03,28.5580,0,2.389104e+08,5.304876e-08,2.817274e+07,-3.183952e+07
weak,0.2,2.511,42,20,4.956299e-03,28.5580,0,2.389104e+08,5.304876e-08,2.514303e+02,-2.684803e+02
weak,0.2,2.511,44,5,4.956299e-03,22.6844,0,5.731061e+07,1.272551e-08,1.564512e+07,-1.844365e+07
weak,0.2,2.511,44,10,4.956299e-03,22.6844,0,5.731061e+07,1.272551e-08,1.121577e+06,-1.246757e+06
weak,0.2,2.511,44,20,4.956299e-03,22.6844,0,5.731061e+07,1.272551e-08,1.000962e+00,-7.800552e-01
weak,0.2,2.511,46,5,4.956299e-03,18.0189,0,1.374786e+07,3.052638e-09,1.969603e+06,-2.274435e+06
weak,0.2,2.511,46,10,4.956299e-03,18.0189,0,1.374786e+07,3.052638e-09,4.465079e+04,-4.890659e+04
weak,0.2,2.511,46,20,4.956299e-03,18.0189,0,1.374786e+07,3.052638e-09,3.984902e-03,2.381017e-01
weak,0.2,2.511,48,5,4.956299e-03,14.3129,0,3.297882e+06,7.322768e-10,2.479584e+05,-2.810203e+05
weak,0.2,2.511,48,10,4.956299e-03,14.3129,0,3.297882e+06,7.322768e-10,1.777580e+03,-1.921501e+03
weak,0.2,2.511,48,20,4.956299e-03,14.3129,0,3.297882e+06,7.322768e-10,1.586418e-05,2.044888e-01
weak,0.2,2.511,50,5,4.956299e-03,11.3692,0,7.911067e+05,1.756610e-10,3.121611e+04,-3.478679e+04
weak,0.2,2.511,50,10,4.956299e-03,11.3692,0,7.911067e+05,1.756610e-10,7.076673e+01,-7.546091e+01
weak,0.2,2.511,50,20,4.956299e-03,11.3692,0,7.911067e+05,1.756610e-10,6.315643e-08,1.675961e-01
